time,voltage,elapse
1,2.879530022125582,1672570055.8261561
2,2.879530022125582,1672570055.9077008
3,2.879530022125582,1672570055.9894512
4,2.879530022125582,1672570056.0642478
5,2.816662851911193,1672570056.141457
6,2.816662851911193,1672570056.2240856
7,2.816662851911193,1672570056.2886481
8,2.816662851911193,1672570056.3667536
9,2.816662851911193,1672570056.421304
10,2.816662851911193,1672570056.4881449
11,2.816662851911193,1672570056.553974
12,2.816662851911193,1672570056.606828
13,2.816662851911193,1672570056.6676633
14,2.816662851911193,1672570056.7264786
15,2.816662851911193,1672570056.8077242
16,2.816662851911193,1672570056.8602097
17,2.816662851911193,1672570056.9269416
18,2.816662851911193,1672570057.0144
19,2.816662851911193,1672570057.0802267
20,2.816662851911193,1672570057.1649706
21,2.816662851911193,1672570057.2367935
22,2.816662851911193,1672570057.3155646
23,2.816662851911193,1672570057.3928528
24,2.816662851911193,1672570057.4522007
25,2.816662851911193,1672570057.527998
26,2.816662851911193,1672570057.5878356
27,2.816662851911193,1672570057.6457014
28,2.816662851911193,1672570057.7105088
29,2.816662851911193,1672570057.9019973
30,2.8886854352636,1672570058.0157325
31,2.8886854352636,1672570058.1343734
32,2.8886854352636,1672570058.210306
33,2.8886854352636,1672570058.2730043
34,2.8886854352636,1672570058.3233936
35,2.8886854352636,1672570058.3757331
36,2.8886854352636,1672570058.4595914
37,2.8886854352636,1672570058.5383797
38,2.8886854352636,1672570058.612053
39,2.8886854352636,1672570058.7212198
40,2.8886854352636,1672570058.79632
41,2.9747463187609675,1672570058.9141111
42,2.9747463187609675,1672570059.0140147
43,2.9747463187609675,1672570059.0835333
44,2.9747463187609675,1672570059.193793
45,2.9747463187609675,1672570059.304069
46,2.9747463187609675,1672570059.3569634
47,2.9747463187609675,1672570059.4419725
48,2.9747463187609675,1672570059.5514927
49,2.9747463187609675,1672570059.6114588
50,2.9747463187609675,1672570059.6890485
51,2.9747463187609675,1672570059.7551458
52,3.0495155260547797,1672570059.8245032
53,3.0495155260547797,1672570059.9259646
54,3.0495155260547797,1672570060.0275064
55,3.0495155260547797,1672570060.0889583
56,3.0495155260547797,1672570060.185697
57,3.0495155260547797,1672570060.2588868
58,3.0495155260547797,1672570060.3245099
59,3.0495155260547797,1672570060.3745432
60,3.0495155260547797,1672570060.4383283
61,3.0495155260547797,1672570060.499059
62,3.0495155260547797,1672570060.562886
63,3.0495155260547797,1672570060.6168807
64,3.0495155260547797,1672570060.6775296
65,3.140764476997024,1672570060.735857
66,3.140764476997024,1672570060.8435712
67,3.140764476997024,1672570060.9330218
68,3.140764476997024,1672570061.0322776
69,3.140764476997024,1672570061.1288383
70,3.140764476997024,1672570061.2500665
71,3.140764476997024,1672570061.3161652
72,3.140764476997024,1672570061.4292078
73,3.140764476997024,1672570061.5021005
74,3.140764476997024,1672570061.5572543
75,3.2146181429770344,1672570061.6446593
76,3.2146181429770344,1672570061.7216349
77,3.2146181429770344,1672570061.786918
78,3.2146181429770344,1672570061.8626826
79,3.2146181429770344,1672570061.9167945
80,3.2146181429770344,1672570062.0234675
81,3.2146181429770344,1672570062.123468
82,3.2146181429770344,1672570062.1925547
83,3.2146181429770344,1672570062.3048396
84,3.2146181429770344,1672570062.4155114
85,3.2146181429770344,1672570062.4892776
86,3.3107499809262233,1672570062.6009102
87,3.3107499809262233,1672570062.6729374
88,3.3107499809262233,1672570062.7685127
89,3.3107499809262233,1672570062.8511484
90,3.3107499809262233,1672570062.9132173
91,3.3107499809262233,1672570062.981846
92,3.3107499809262233,1672570063.090359
93,3.3107499809262233,1672570063.1672344
94,3.3107499809262233,1672570063.2374237
95,3.3107499809262233,1672570063.3061275
96,3.3107499809262233,1672570063.3977704
97,3.3855191882200355,1672570063.4963245
98,3.3855191882200355,1672570063.614745
99,3.3855191882200355,1672570063.68928
100,3.3855191882200355,1672570063.7911475
101,3.3855191882200355,1672570063.8501275
102,3.3855191882200355,1672570063.9053783
103,3.3855191882200355,1672570063.9591727
104,3.3855191882200355,1672570064.0157988
105,3.3855191882200355,1672570064.069625
106,3.3855191882200355,1672570064.1437216
107,3.3855191882200355,1672570064.24193
108,3.3855191882200355,1672570064.3338377
109,3.4697489890897995,1672570064.44691
110,3.4697489890897995,1672570064.552893
111,3.4697489890897995,1672570064.6271796
112,3.4697489890897995,1672570064.7099476
113,3.4697489890897995,1672570064.8773534
114,3.4697489890897995,1672570065.0136874
115,3.4697489890897995,1672570065.1317968
116,3.4697489890897995,1672570065.2802563
117,3.5457389181353474,1672570065.38616
118,3.5457389181353474,1672570065.4704046
119,3.5457389181353474,1672570065.6102543
120,3.5457389181353474,1672570065.774607
121,3.5457389181353474,1672570065.9468899
122,3.5457389181353474,1672570066.0849016
123,3.5457389181353474,1672570066.1889572
124,3.63454642557412,1672570066.3379312
125,3.63454642557412,1672570066.466005
126,3.63454642557412,1672570066.644935
127,3.63454642557412,1672570066.7860456
128,3.63454642557412,1672570066.871527
129,3.63454642557412,1672570066.9978187
130,3.7166399633783467,1672570067.1841583
131,3.7166399633783467,1672570067.3302464
132,3.7166399633783467,1672570067.5270991
133,3.7166399633783467,1672570067.6660368
134,3.7166399633783467,1672570067.7838032
135,3.7166399633783467,1672570067.8957496
136,3.7166399633783467,1672570067.9655657
137,3.7926298924238964,1672570068.0638347
138,3.7926298924238964,1672570068.1618912
139,3.7926298924238964,1672570068.23491
140,3.7926298924238964,1672570068.3088562
141,3.7926298924238964,1672570068.3892245
142,3.7926298924238964,1672570068.4857724
143,3.7926298924238964,1672570068.6213567
144,3.7926298924238964,1672570068.7634578
145,3.7926298924238964,1672570068.9090579
146,3.8756389715419246,1672570069.0091896
147,3.8756389715419246,1672570069.0899913
148,3.8756389715419246,1672570069.1707368
149,3.8756389715419246,1672570069.2572916
150,3.8756389715419246,1672570069.3320744
151,3.8756389715419246,1672570069.4335601
152,3.8756389715419246,1672570069.580427
153,3.8756389715419246,1672570069.7372584
154,3.958648050659953,1672570069.8795128
155,3.958648050659953,1672570070.0055635
156,3.958648050659953,1672570070.1533384
157,3.958648050659953,1672570070.2629406
158,3.958648050659953,1672570070.3817387
159,3.958648050659953,1672570070.489985
160,3.958648050659953,1672570070.6180527
161,3.958648050659953,1672570070.7300005
162,4.036774242771038,1672570070.8323293
163,4.036774242771038,1672570070.9613526
164,4.036774242771038,1672570071.0696924
165,4.036774242771038,1672570071.1822128
166,4.036774242771038,1672570071.2969687
167,4.036774242771038,1672570071.3826547
168,4.036774242771038,1672570071.4880471
169,4.036774242771038,1672570071.574592
170,4.036774242771038,1672570071.657689
171,4.11459525444419,1672570071.7495954
172,4.11459525444419,1672570071.8462021
173,4.11459525444419,1672570071.9290564
174,4.11459525444419,1672570072.0578392
175,4.11459525444419,1672570072.2029433
176,4.11459525444419,1672570072.301082
177,4.11459525444419,1672570072.4538617
178,4.11459525444419,1672570072.556294
179,4.194552529182879,1672570072.7394783
180,4.194552529182879,1672570072.8704486
181,4.194552529182879,1672570073.005413
182,4.194552529182879,1672570073.1420622
183,4.194552529182879,1672570073.2791448
184,4.194552529182879,1672570073.3859475
185,4.2784771496147105,1672570073.5290308
186,4.2784771496147105,1672570073.6622076
187,4.2784771496147105,1672570073.7580972
188,4.2784771496147105,1672570073.871775
189,4.2784771496147105,1672570073.9611084
190,4.2784771496147105,1672570074.0608885
191,4.2784771496147105,1672570074.1549468
192,4.2784771496147105,1672570074.3168335
193,4.2784771496147105,1672570074.4162762
194,4.354772259098192,1672570074.5542574
195,4.354772259098192,1672570074.707245
196,4.354772259098192,1672570074.8450108
197,4.354772259098192,1672570074.9436934
198,4.354772259098192,1672570075.0781631
199,4.354772259098192,1672570075.165602
200,4.354772259098192,1672570075.2254663
